# curie_map:
#   finos: https://air-governance-framework.finos.org/risks/
#   nist_ai_600_1: https://w3id.org/lmodel/nist-ai-600-1/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2026-06-04'
# mapping_set_description: FINOS AI Governance Framework risks (ri-N) to NIST AI 600-1 GenAI Profile risks.
# mapping_set_id: https://github.com/finos/ai-governance-framework/tree/main/linkml/src/ai_governance_framework/mappings/finos_to_nist_ai_600_1.sssom.tsv
# mapping_set_version: 0.1.0
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	comment
finos:AIR-RC-001	Information Leaked To Hosted Model	skos:relatedMatch	nist_ai_600_1:2-4	2.4. Data Privacy	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-RC-001	Information Leaked To Hosted Model	skos:relatedMatch	nist_ai_600_1:2-9	2.9. Information Security	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-002	Information Leaked to Vector Store	skos:relatedMatch	nist_ai_600_1:2-4	2.4. Data Privacy	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-002	Information Leaked to Vector Store	skos:relatedMatch	nist_ai_600_1:2-9	2.9. Information Security	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-004	Hallucination and Inaccurate Outputs	skos:relatedMatch	nist_ai_600_1:2-2	2.2. Confabulation	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-004	Hallucination and Inaccurate Outputs	skos:relatedMatch	nist_ai_600_1:2-8	2.8. Information Integrity	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-005	Foundation Model Versioning	skos:relatedMatch	nist_ai_600_1:2-8	2.8. Information Integrity	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-008	Tampering With the Foundational Model	skos:relatedMatch	nist_ai_600_1:2-12	2.12. Value Chain and Component Integration	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-009	Data Poisoning	skos:relatedMatch	nist_ai_600_1:2-8	2.8. Information Integrity	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-009	Data Poisoning	skos:relatedMatch	nist_ai_600_1:2-12	2.12. Value Chain and Component Integration	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-016	Bias and Discrimination	skos:relatedMatch	nist_ai_600_1:2-6	2.6. Harmful Bias and Homogenization	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-019	Data Quality and Drift	skos:relatedMatch	nist_ai_600_1:2-8	2.8. Information Integrity	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-RC-022	Regulatory Compliance and Oversight	skos:relatedMatch	nist_ai_600_1:2-9	2.9. Information Security	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-RC-023	Intellectual Property (IP) and Copyright	skos:relatedMatch	nist_ai_600_1:2-10	2.10. Intellectual Property	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:UC-002	Autonomous Wealth Management	skos:relatedMatch	nist_ai_600_1:2-2	2.2. Confabulation	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:UC-002	Autonomous Wealth Management	skos:relatedMatch	nist_ai_600_1:2-4	2.4. Data Privacy	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:UC-002	Autonomous Wealth Management	skos:relatedMatch	nist_ai_600_1:2-8	2.8. Information Integrity	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
