# curie_map:
#   finos: https://air-governance-framework.finos.org/
#   eu_ai_act: https://artificialintelligenceact.eu/article/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2026-06-04'
# mapping_set_description: FINOS AI Governance Framework risks (ri-N), mitigations (mi-N), and use cases (uc-N) to EU Artificial Intelligence Act articles, recitals, and annexes.
# mapping_set_id: https://github.com/finos/ai-governance-framework/tree/main/linkml/src/ai_governance_framework/mappings/finos_to_eu_ai_act.sssom.tsv
# mapping_set_version: 0.1.0
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	comment
finos:AIR-RC-001	Information Leaked To Hosted Model	skos:relatedMatch	eu_ai_act:c3-s2-a10	III.S2.A10: Data and Data Governance	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-RC-001	Information Leaked To Hosted Model	skos:relatedMatch	eu_ai_act:c3-s2-a13	III.S2.A13: Transparency and Provision of Information to Deployers	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-RC-001	Information Leaked To Hosted Model	skos:relatedMatch	eu_ai_act:c5-s2-a53	V.S2.A53: Obligations for Providers of General-Purpose AI Models	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-002	Information Leaked to Vector Store	skos:relatedMatch	eu_ai_act:c3-s2-a10	III.S2.A10: Data and Data Governance	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-002	Information Leaked to Vector Store	skos:relatedMatch	eu_ai_act:c3-s2-a15	III.S2.A15: Accuracy, Robustness and Cybersecurity	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-002	Information Leaked to Vector Store	skos:relatedMatch	eu_ai_act:c3-s3-a16	III.S3.A16: Obligations of Providers of High-Risk AI Systems	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-004	Hallucination and Inaccurate Outputs	skos:relatedMatch	eu_ai_act:c3-s2-a15	III.S2.A15: Accuracy, Robustness and Cybersecurity	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-004	Hallucination and Inaccurate Outputs	skos:relatedMatch	eu_ai_act:c3-s2-a13	III.S2.A13: Transparency and Provision of Information to Deployers	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-004	Hallucination and Inaccurate Outputs	skos:relatedMatch	eu_ai_act:c3-s2-a9	III.S2.A9: Risk Management System	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-005	Foundation Model Versioning	skos:relatedMatch	eu_ai_act:c3-s2-a9	III.S2.A9: Risk Management System	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-005	Foundation Model Versioning	skos:relatedMatch	eu_ai_act:c3-s2-a15	III.S2.A15: Accuracy, Robustness and Cybersecurity	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-005	Foundation Model Versioning	skos:relatedMatch	eu_ai_act:c5-s2-a53	V.S2.A53: Obligations for Providers of General-Purpose AI Models	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-006	Non-Deterministic Behaviour	skos:relatedMatch	eu_ai_act:c3-s2-a9	III.S2.A9: Risk Management System	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-006	Non-Deterministic Behaviour	skos:relatedMatch	eu_ai_act:c3-s2-a15	III.S2.A15: Accuracy, Robustness and Cybersecurity	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-006	Non-Deterministic Behaviour	skos:relatedMatch	eu_ai_act:c3-s2-a14	III.S2.A14: Human Oversight	semapv:ManualMappingCuration	https://github.com/finos/ai-governance-framework	2026-06-04	
