# curie_map:
#   finos: https://air-governance-framework.finos.org/mitigations/
#   iso42001: https://w3id.org/lmodel/iso42001/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2026-06-04'
# mapping_set_description: FINOS AI Governance Framework mitigations (mi-N) to ISO/IEC 42001:2023 Annex A controls.
# mapping_set_id: https://github.com/finos/ai-governance-framework/tree/main/linkml/src/ai_governance_framework/mappings/finos_to_iso42001.sssom.tsv
# mapping_set_version: 0.1.0
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	comment
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	iso42001:A-7-2	ISO 42001: Data for development and enhancement of AI system	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	iso42001:A-6-2-6	ISO 42001: AI system operation and monitoring	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	iso42001:A-5-2	ISO 42001: AI system impact assessment process	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-PREV-002	Data Filtering From External Knowledge Bases	skos:relatedMatch	iso42001:A-7-2	ISO 42001: Data for development and enhancement of AI system	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-PREV-002	Data Filtering From External Knowledge Bases	skos:relatedMatch	iso42001:A-7-3	ISO 42001: Acquisition of data	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-PREV-002	Data Filtering From External Knowledge Bases	skos:relatedMatch	iso42001:A-7-4	ISO 42001: Quality of data for AI systems	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-PREV-002	Data Filtering From External Knowledge Bases	skos:relatedMatch	iso42001:A-7-6	ISO 42001: Data preparation	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-PREV-003	User/App/Model Firewalling/Filtering	skos:relatedMatch	iso42001:A-6-1-3	ISO 42001: Processes for responsible AI system design and development	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-PREV-003	User/App/Model Firewalling/Filtering	skos:relatedMatch	iso42001:A-6-2-2	ISO 42001: AI system requirements and specification	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-PREV-003	User/App/Model Firewalling/Filtering	skos:relatedMatch	iso42001:A-9-2	ISO 42001: Processes for responsible use of AI systems	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
