# curie_map:
#   finos: https://air-governance-framework.finos.org/mitigations/
#   owasp_llm: https://owasp.org/www-project-top-10-for-large-language-model-applications/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2026-06-04'
# mapping_set_description: FINOS AI Governance Framework mitigations (mi-N) to OWASP LLM Top 10 (2025 edition).
# mapping_set_id: https://github.com/finos/ai-governance-framework/tree/main/linkml/src/ai_governance_framework/mappings/finos_to_owasp_llm.sssom.tsv
# mapping_set_version: 0.1.0
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	comment
finos:AIR-RC-001	Information Leaked To Hosted Model	skos:relatedMatch	owasp_llm:llm02-2025	LLM02:2025 Sensitive Information Disclosure	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-002	Information Leaked to Vector Store	skos:relatedMatch	owasp_llm:llm02-2025	LLM02:2025 Sensitive Information Disclosure	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-002	Information Leaked to Vector Store	skos:relatedMatch	owasp_llm:llm08-2025	LLM08:2025 Vector and Embedding Weaknesses	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-004	Hallucination and Inaccurate Outputs	skos:relatedMatch	owasp_llm:llm09-2025	LLM09:2025 Misinformation	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-005	Foundation Model Versioning	skos:relatedMatch	owasp_llm:llm09-2025	LLM09:2025 Misinformation	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-006	Non-Deterministic Behaviour	skos:relatedMatch	owasp_llm:llm09-2025	LLM09:2025 Misinformation	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-007	Availability of Foundational Model	skos:relatedMatch	owasp_llm:llm10-2025	LLM10:2025 Unbounded Consumption	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-008	Tampering With the Foundational Model	skos:relatedMatch	owasp_llm:llm03-2025	LLM03:2025 Supply Chain	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-009	Data Poisoning	skos:relatedMatch	owasp_llm:llm03-2025	LLM03:2025 Supply Chain	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-009	Data Poisoning	skos:relatedMatch	owasp_llm:llm04-2025	LLM04: Data and Model Poisoning	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-009	Data Poisoning	skos:relatedMatch	owasp_llm:llm05-2025	LLM05:2025 Improper Output Handling	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-010	Prompt Injection	skos:relatedMatch	owasp_llm:llm01-2025	LLM01:2025 Prompt Injection	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-010	Prompt Injection	skos:relatedMatch	owasp_llm:llm04-2025	LLM04: Data and Model Poisoning	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-010	Prompt Injection	skos:relatedMatch	owasp_llm:llm06-2025	LLM06:2025 Excessive Agency	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-010	Prompt Injection	skos:relatedMatch	owasp_llm:llm10-2025	LLM10:2025 Unbounded Consumption	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-014	Inadequate System Alignment	skos:relatedMatch	owasp_llm:llm07-2025	LLM07:2025 System Prompt Leakage	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-018	Model Overreach / Expanded Use	skos:relatedMatch	owasp_llm:llm06-2025	LLM06:2025 Excessive Agency	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-020	Reputational Risk	skos:relatedMatch	owasp_llm:llm09-2025	LLM09:2025 Misinformation	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-024	Agent Action Authorization Bypass	skos:relatedMatch	owasp_llm:llm06-2025	LLM06:2025 Excessive Agency	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-025	Tool Chain Manipulation and Injection	skos:relatedMatch	owasp_llm:llm01-2025	LLM01:2025 Prompt Injection	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-029	Agent-Mediated Credential Discovery and Harvesting	skos:relatedMatch	owasp_llm:llm01-2025	LLM01:2025 Prompt Injection	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-029	Agent-Mediated Credential Discovery and Harvesting	skos:relatedMatch	owasp_llm:llm06-2025	LLM06:2025 Excessive Agency	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
